91	0.4921 0.2406 0.5498 0.2406 0.5498 0.2588 0.4921 0.2588	"BANKPLATTE"
92	0.5395 0.7823 0.5729 0.7823 0.5729 0.7926 0.5395 0.7926	"THERM."
93	0.5395 0.8059 0.6127 0.8059 0.6127 0.8156 0.5395 0.8156	"TRENNELEMENT"
94	0.7969 0.0834 0.8782 0.0834 0.8782 0.1094 0.7969 0.1094	"ALPHATON"
95	0.8632 0.0810 0.8760 0.0810 0.8760 0.1161 0.8632 0.1161	"-"
96	0.8833 0.0937 0.9701 0.0937 0.9701 0.1131 0.8833 0.1131	"Ziegelfassade"
97	0.7178 0.1070 0.7221 0.1070 0.7221 0.1252 0.7178 0.1252	"i"
98	0.7978 0.1270 0.8555 0.1270 0.8555 0.1391 0.7978 0.1391	"Querformat-"
99	0.8589 0.1270 0.9141 0.1270 0.9141 0.1421 0.8589 0.1421	"Ausfthrung"
100	0.7973 0.1475 0.8273 0.1475 0.8273 0.1596 0.7973 0.1596	"2.7.36"
101	0.8375 0.1475 0.8448 0.1475 0.8448 0.1590 0.8375 0.1590	"M"
102	0.8499 0.1481 0.8619 0.1481 0.8619 0.1590 0.8499 0.1590	"1:1"
103	0.8679 0.1475 0.8794 0.1475 0.8794 0.1620 0.8679 0.1620	"(V)"
104	0.6772 0.1342 0.7230 0.1342 0.7230 0.2249 0.6772 0.2249	"ore"
105	0.7973 0.1675 0.8149 0.1675 0.8149 0.1995 0.7973 0.1995	"sn"
106	0.8068 0.2195 0.9008 0.2195 0.9008 0.2316 0.8068 0.2316	"lu-Unterkonstruktion"
107	0.6729 0.9027 0.7914 0.9027 0.7914 0.9649 0.6729 0.9649	"Ae,"
