                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.69696,                 1.2821,                 1.1423,                0.93832,                0.38554,                0.58098,                0.46237,                 1.6967,                  2.408,                 1.5126,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 1.0459,                 1.3919,                 1.4135,                0.93832,                0.38554,                0.58098,                0.46237,                 1.6967,                  2.408,                 1.5126,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.70083,                  1.198,                 1.1989,                 0.9386,                0.38573,                0.58102,                0.46139,                 1.6784,                 2.4084,                 1.4978,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.75163,                 1.3465,                 1.1609,                 0.9386,                0.38573,                0.58102,                0.46139,                 1.6784,                 2.4084,                 1.4978,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.75251,                 1.3884,                 1.2575,                0.93711,                0.38591,                 0.5811,                0.47796,                 1.6858,                 2.4132,                 1.4864,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.90122,                 1.1144,                 1.2814,                0.93711,                0.38591,                 0.5811,                0.47796,                 1.6858,                 2.4132,                 1.4864,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.66176,                0.79319,                0.99063,                0.93572,                0.38594,                 0.5813,                0.46946,                 1.6999,                 2.4647,                 1.5087,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 1.0503,                 2.3476,                 1.4261,                0.93572,                0.38594,                 0.5813,                0.46946,                 1.6999,                 2.4647,                 1.5087,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.79261,                 0.9052,                 1.1413,                0.93572,                0.38594,                 0.5813,                0.46946,                 1.6999,                 2.4647,                 1.5087,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                  1.123,                 2.3271,                 1.4085,                0.93397,                0.38614,                0.49753,                0.38144,                 1.7641,                 2.5288,                 1.5786,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.98614,                 1.3198,                 1.5021,                0.93397,                0.38614,                0.49753,                0.38144,                 1.7641,                 2.5288,                 1.5786,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.60519,                0.72075,                 1.1188,                0.93397,                0.38614,                0.49753,                0.38144,                 1.7641,                 2.5288,                 1.5786,             2.9812e-05,             2.9812e-05,             2.9812e-05
